userName,quiz1MM,quiz1FB,quiz1SB,quiz2MM,quiz2FB,quiz2SB,quiz3MM,quiz3FB,quiz3SB
0d4M8n7RA,100,4,3,102,3,2,105,1,2
0f3I6a0RA,121,4,1,100,3,4,102,4,5
0I8c7G9EA,122,4,3,112,3,2,136,1,2
0J1l2A6RA,140,4,2,70,3,2,100,1,2
0u5E2D3WA,134,4,2,89,3,4,120,1,2
1G1x3J1pA,92,4,1,80,3,5,80,1,5
1q7I3h0rA,80,4,1,115,3,5,100,1,2
1T1U4P6mA,70,4,3,75,3,4,80,1,2
2N4t6G6sA,80,4,1,80,4,1,90,1,2
2p2z3A0zA,120,4,3,75,3,2,90,1,2
2p3c6s8CA,138,4,3,130,3,4,114,1,2
2Q0A5r8dA,75,4,1,100,3,4,85,1,4
2q9I6W6qA,105,4,1,95,3,4,85,1,2
2U6v9I8wA,75,4,5,75,3,6,80,1,5
2V4a9k6xA,130,4,5,120,3,6,120,1,4
3b7s4m3MA,25,4,5,100,3,5,100,2,1
3D2e2a8zA,75,4,1,85,3,1,85,1,2
3E3T4B9zA,120,4,3,110,3,6,99,1,2
3i8g0v8jA,93,4,3,100,4,2,85,1,2
3K7p2H1LA,132,4,1,140,3,5,100,1,5
3l3p0e8OA,130,4,1,75,3,4,90,1,3
3m2u8i3WA,149,4,2,76,3,4,90,1,2
3M4M7J5PA,100,4,3,149,3,2,95,1,2
3w5V8K3rA,95,4,5,120,4,5,85,1,2
3x3U2s8jA,125,2,4,115,3,4,120,1,2
4a7u2u4JA,96,4,5,116,5,4,98,1,4
4G8M3K4PA,100,2,4,93,3,4,90,1,2
4j6Q7y7UA,113,4,3,94,3,4,83,1,2
4n9J6i0rA,100,2,1,90,1,4,95,1,5
4r6p5l1RA,120,4,3,95,3,1,95,1,2
5b8N4l3DA,120,4,3,130,3,4,80,1,2
5o6A2P4pA,100,4,2,70,3,4,70,1,2
5q8V1F1CA,98,4,3,88,3,4,89,1,5
5s4t9G2KA,100,4,1,90,3,4,75,1,2
5S7d2U0KA,102,4,5,85,3,2,80,1,4
5T7W2L0rA,132,4,1,76,3,4,97,1,2
5W8p9y5xA,90,4,5,95,3,4,100,1,2
5x3s1s5jA,91,4,3,122,3,4,82,1,2
6d3H1k4TA,75,4,2,78,3,5,80,1,2
6e1y2T7sA,97,4,1,69,3,5,90,1,2
6G4A6Q8dA,132,4,3,75,3,4,85,1,3
6m1u7I8rA,110,4,3,78,3,5,96,1,2
6w7f9W4lA,115,2,1,70,5,6,90,1,2
7a1c4m5yA,70,4,1,110,3,2,70,1,2
7h3i0l1TA,134,4,1,67,3,4,89,1,2
7I0Q5S9MA,109,4,6,157,3,5,118,1,4
7V9r2o0wA,130,4,1,90,3,4,102,1,2
7y5Q0H9kA,110,2,4,90,3,4,80,1,2
7z5I5J9uA,93,4,2,110,3,4,90,1,2
8g1R6j5SA,100,4,1,95,3,2,105,1,2
8h8W3a2xA,118,5,2,104,6,5,98,5,4
8I8L0H8FA,96,4,2,86,3,4,80,1,2
8K2O8F0mA,130,1,4,119,3,5,132,1,4
8N0d4c1CA,110,4,2,110,3,4,101,1,2
8N2G3F4qA,106,4,1,96,3,6,117,1,2
8R0F4z2qA,106,4,1,95,3,4,86,1,2
8T8K5b4WA,135,4,1,97,3,5,96,1,5
9A5x2H4OA,138,2,1,100,3,1,90,1,4
9B6A4L4kA,90,4,1,95,1,2,90,1,2
9g2F0C6bA,130,0,0,90,3,4,85,1,2
9k7E9M9MA,100,4,3,84,3,2,90,1,2
9l0Q7V6uA,121,4,2,70,3,4,90,1,2
9t8H3y5nA,118,4,5,110,3,5,100,1,6
9W6B0U8CA,143,4,3,100,3,2,79,1,2
9W9O3l3hA,108,4,2,100,3,4,84,1,2
,107.8769231,,,96.56923077,,,93.58461538,,
