Answers:,group,firstMoveRate,secondMoveRate,thirdMoveRate,forthMoveRate,fifthMoveRate,firstBox1Rate,firstBox2Rate,firstBox3Rate,firstBox4Rate,firstBox5Rate,firstBox6Rate,secBox1Rate,secBox2Rate,secBox3Rate,secBox4Rate,secBox5Rate,secBox6Rate,firstRangeReal,secRangeReal,thirdRangeReal,forthRangeReal,fifthRangeReal,firstBox1Real,firstBox2Real,firstBox3Real,firstBox4Real,firstBox5Real,firstBox6Real,secBox1Real,secBox2Real,secBox3Real,secBox4Real,secBox5Real,secBox6Real
"EST(S\S(aj),aj))",firstRangeWithout,1.830769231,14.65384615,51.76153846,23.79230769,7.961538462,4.615384615,3.476923077,63.41538462,11.13846154,15.32307692,2.169230769,7.961025641,19.95076923,12.70769231,30.88410256,19.16102564,9.473846154,0,23.07692308,49.23076923,23.07692308,4.615384615,3.076923077,0,87.69230769,4.615384615,3.076923077,1.538461538,6.153846154,18.46153846,0,47.69230769,20,7.692307692
"EST(S\S(aj),aj))",secRangeWithout,1.78,13.95,51.99,24.33,7.95,5.8,4.12,61.34,11.68,14.62,2.62,7.516,20.436,14.34,28.016,17.676,12.016,0,0,64,30,6,4,0,86,6,2,2,8,20,0,46,20,6
"EST(S\S(aj),aj))",thirdRangeWithout,2.96969697,14.43939394,44.07575758,27.40909091,11.10606061,3.454545455,4.242424242,62.48484848,11.45454545,15.60606061,3.03030303,7.498989899,19.35757576,14.12121212,28.04444444,21.68080808,9.56969697,0,45.45454545,0,45.45454545,9.090909091,0,0,90.90909091,3.03030303,6.060606061,0,0,15.15151515,0,45.45454545,27.27272727,12.12121212
"EST(S\S(aj),aj))",forthRangeWithout,1.32,15.22,55.2,20.84,7.42,4.32,2.52,66.1,10.12,15.72,1.22,8.633333333,20.26,10.18,34.57333333,20.03333333,6.5,0,30,64,0,6,4,0,88,4,2,2,8,20,0,48,18,6
"EST(S\S(aj),aj))",fifthRangeWithout,1.677419355,14.87903226,52.89516129,23.81451613,6.733870968,4.516129032,3.322580645,63.41935484,11.35483871,15.41935484,2.112903226,8.023655914,19.62580645,12.67741935,31.73333333,18.31397849,9.770967742,0,24.19354839,51.61290323,24.19354839,0,3.225806452,0,87.09677419,4.838709677,3.225806452,1.612903226,6.451612903,17.74193548,0,50,17.74193548,8.064516129
"EST(S\S(aj),aj))",firstBox1GroupWithout,1.888888889,14.72222222,51.02380952,24.23015873,8.134920635,4.126984127,3.111111111,64.95238095,10.85714286,15.17460317,1.920634921,7.816931217,20.18730159,12.71428571,30.43597884,19.61058201,9.377777778,0,23.80952381,47.61904762,23.80952381,4.761904762,0,0,90.47619048,4.761904762,3.174603175,1.587301587,6.349206349,17.46031746,0,47.61904762,20.63492063,7.936507937
"EST(S\S(aj),aj))",firstBox2GroupWithout,1.830769231,14.65384615,51.76153846,23.79230769,7.961538462,4.615384615,3.476923077,63.41538462,11.13846154,15.32307692,2.169230769,7.961025641,19.95076923,12.70769231,30.88410256,19.16102564,9.473846154,0,23.07692308,49.23076923,23.07692308,4.615384615,3.076923077,0,87.69230769,4.615384615,3.076923077,1.538461538,6.153846154,18.46153846,0,47.69230769,20,7.692307692
"EST(S\S(aj),aj))",firstBox3GroupWithout,2.5,13.75,63.125,17.5,3.125,9.375,6.875,16.25,30,31.875,5.625,13.75,11.25,18.125,22.5,15,19.375,0,12.5,62.5,25,0,25,0,0,37.5,25,12.5,12.5,25,0,25,25,12.5
"EST(S\S(aj),aj))",firstBox4GroupWithout,1.919354839,14.31451613,51.04032258,24.37903226,8.346774194,4.758064516,3.403225806,65.51612903,8.774193548,15.5,2.193548387,7.217204301,20.10967742,11.70967742,31.57204301,19.84623656,9.690322581,0,24.19354839,48.38709677,22.58064516,4.838709677,3.225806452,0,91.93548387,0,3.225806452,1.612903226,4.838709677,17.74193548,0,50,19.35483871,8.064516129
"EST(S\S(aj),aj))",firstBox5GroupWithout,1.571428571,14.8015873,51.73809524,23.99206349,7.896825397,4.285714286,3.428571429,64.79365079,11.17460317,14.53968254,1.920634921,7.975661376,20.34603175,12.79365079,31.22962963,18.26137566,9.536507937,0,22.22222222,50.79365079,22.22222222,4.761904762,3.174603175,0,90.47619048,4.761904762,0,1.587301587,6.349206349,19.04761905,0,47.61904762,20.63492063,6.349206349
"EST(S\S(aj),aj))",firstBox6GroupWithout,1.859375,14.8828125,51.7890625,23.3828125,8.0859375,4.6875,3.53125,64.40625,11.3125,14,2.203125,8.085416667,20.2625,12.90625,31.36666667,19.46041667,8.059375,0,23.4375,48.4375,23.4375,4.6875,3.125,0,89.0625,4.6875,3.125,0,6.25,18.75,0,48.4375,18.75,7.8125
